Name;#Errors_order;Score_ordered_connection;Recommanded_score;Score_named_connection;reason_of_low_score
sywong5;0;100;100;;
tand0018;11;0;0;0;don't_know
tanp0097;0;100;100;;
tanw0195;0;100;100;;
tanx0080;0;100;100;;
teey0007;0;100;100;;
teol0025;0;100;100;;
tham0118;0;100;100;;
tien3;0;100;100;;
tquek001;0;100;100;;
tuananh001;0;100;100;;
tuong1;0;100;100;;
txho1;11;0;0;0;don't_know
tyquek1;11;0;100;100;
umme0001;0;100;100;;
van008;0;100;100;;
vidur1;11;0;100;100;
vietanh001;0;100;100;;
vqtoh1;0;100;100;;
waiyan001;0;100;100;;
wang0713;0;100;100;;
wang0781;0;100;100;;
wang0798;0;100;100;;
wang0815;0;100;100;;
wchee001;11;0;100;100;
weet0008;0;100;100;;
wflim1;0;100;100;;
wgoh002;11;0;100;100;
wkwok001;0;100;100;;
wlek001;0;100;100;;
wong0809;1;90;90;;
wong0828;0;100;100;;
wqchua1;8;27;100;100;
wsoo001;0;100;100;;
wuyi0006;0;100;100;;
wxu002;11;0;100;100;alu.v_in_Windows_format
wyang006;0;100;100;;
xcai3;0;100;100;;
xchu001;0;100;100;;
xfchen1;0;100;100;;
xhong2;0;100;100;;
xiao0062;0;100;100;;
xllam001;0;100;100;;
xlng001;0;100;100;;
xlok001;8;27;100;100;
xmcheoh1;0;100;100;;
xsu005;0;100;100;;
xtheng001;0;100;100;;
xu0003he;0;100;100;;
xu0012ng;0;100;100;;
xuyi0012;0;100;100;;
xzhang009;0;100;100;;
xzhao006;8;27;27;;
yang0318;0;100;100;;
ycheng009;0;100;100;;
yeqi0002;0;100;100;;
ygoh003;0;100;100;;
ygoh008;0;100;100;;
yhuang012;0;100;100;;
yjlim2;11;0;0;0;empty_folder
ylee012;0;100;100;;
ylow003;11;0;0;0;Due_to_$signed?
yong019;0;100;100;;
ytay2;0;100;100;;
ytteo3;0;100;100;;
yuem0003;0;100;100;;
yuen0018;0;100;100;;
ywang034;0;100;100;;
ywyap1;0;100;100;;
yxia004;0;100;100;;
zang002;8;27;100;100;
zeng0065;5;54;54;;
zfong001;0;100;100;;
zgzeng1;0;100;100;;
zhao0153;0;100;100;;
zhao0162;8;27;100;100;
zpoh001;0;100;100;;
zsong1;8;27;100;100;
ztan008;11;0;90;90;Late_submission
ztay004;0;100;100;;
zteow001;1;90;90;;
zyng2;0;100;100;;
zzeng001;0;100;100;;
zzhang011;0;100;100;;
zzheng002;0;100;100;;
